Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
arange,2048,embedding_1,embedding_dense_backward,1292,0,0.0000
t,1024,mm,t_243,1257,0,0.0000
view,8388608,mm,mm_129,1255,2,0.4699
t_1,1024,mm_1,t_239,1244,0,0.0000
view_1,8388608,mm_1,mm_127,1242,2,0.4699
getitem,8388608,add_1,sub_48,1232,4,0.3533
t_2,1024,mm_2,t_235,1232,0,0.0000
view_2,8388608,mm_2,mm_125,1230,2,0.4699
transpose,8388608,_scaled_dot_product_efficient_attention,_scaled_dot_product_efficient_attention_backward_7,1210,3,0.1759
transpose_1,8388608,_scaled_dot_product_efficient_attention,_scaled_dot_product_efficient_attention_backward_7,1210,3,0.1652
transpose_2,8388608,_scaled_dot_product_efficient_attention,_scaled_dot_product_efficient_attention_backward_7,1210,3,0.1673
getitem_5,8388608,transpose_3,_scaled_dot_product_efficient_attention_backward_7,1205,1,2.1910
t_3,1024,mm_3,t_231,1195,0,0.0000
view_7,8388608,mm_3,mm_123,1193,2,0.0919
view_8,8388608,addmm,mm_122,1156,2,0.4549
t_4,4096,addmm,t_225,1153,0,0.0000
add_1,8388608,add_2,sub_45,1152,4,0.2108
view_9,33554432,gelu,gelu_backward_7,1149,1,0.3563
view_10,33554432,addmm_1,mm_120,1140,1,0.2816
t_5,4096,addmm_1,t_221,1137,0,0.0000
t_6,1024,mm_4,t_219,1102,0,0.0000
view_12,8388608,mm_4,mm_117,1100,2,0.4557
t_7,1024,mm_5,t_215,1089,0,0.0000
view_13,8388608,mm_5,mm_115,1087,2,0.4557
add_2,8388608,add_3,sub_42,1077,4,0.3217
t_8,1024,mm_6,t_211,1077,0,0.0000
view_14,8388608,mm_6,mm_113,1075,2,0.4557
transpose_4,8388608,_scaled_dot_product_efficient_attention_1,_scaled_dot_product_efficient_attention_backward_6,1055,3,0.1676
transpose_5,8388608,_scaled_dot_product_efficient_attention_1,_scaled_dot_product_efficient_attention_backward_6,1055,3,0.1737
transpose_6,8388608,_scaled_dot_product_efficient_attention_1,_scaled_dot_product_efficient_attention_backward_6,1055,3,0.1628
getitem_19,8388608,transpose_7,_scaled_dot_product_efficient_attention_backward_6,1050,1,2.1856
t_9,1024,mm_7,t_207,1040,0,0.0000
view_19,8388608,mm_7,mm_111,1038,2,0.0898
view_20,8388608,addmm_2,mm_110,1001,2,0.4557
t_10,4096,addmm_2,t_201,998,0,0.0000
add_3,8388608,add_4,sub_39,997,4,0.2136
view_21,33554432,gelu_1,gelu_backward_6,994,1,0.4734
view_22,33554432,addmm_3,mm_108,985,1,0.2778
t_11,4096,addmm_3,t_197,982,0,0.0000
t_12,1024,mm_8,t_195,947,0,0.0000
view_24,8388608,mm_8,mm_105,945,2,0.4577
t_13,1024,mm_9,t_191,934,0,0.0000
view_25,8388608,mm_9,mm_103,932,2,0.4577
add_4,8388608,add_5,sub_36,922,4,0.3224
t_14,1024,mm_10,t_187,922,0,0.0000
view_26,8388608,mm_10,mm_101,920,2,0.4577
transpose_8,8388608,_scaled_dot_product_efficient_attention_2,_scaled_dot_product_efficient_attention_backward_5,900,3,0.1694
transpose_9,8388608,_scaled_dot_product_efficient_attention_2,_scaled_dot_product_efficient_attention_backward_5,900,3,0.1659
transpose_10,8388608,_scaled_dot_product_efficient_attention_2,_scaled_dot_product_efficient_attention_backward_5,900,3,0.1656
getitem_33,8388608,transpose_11,_scaled_dot_product_efficient_attention_backward_5,895,1,2.1981
t_15,1024,mm_11,t_183,885,0,0.0000
view_31,8388608,mm_11,mm_99,883,2,0.0911
view_32,8388608,addmm_4,mm_98,846,2,0.4593
